Designator,Mid X,Mid Y,Rotation,Layer
C1,64.965,-68.49,90.0,top
C10,79.845,-114.54,270.0,top
C11,64.16,-103.505,0.0,top
C2,61.54,-71.245,0.0,top
C3,61.54,-74.255,0.0,top
C4,88.105,-84.45,0.0,top
C5,84.63,-122.1,180.0,top
C6,84.58,-119.82,180.0,top
C7,90.16,-113.31,0.0,top
C8,86.38,-113.31,180.0,top
C9,64.98,-72.295,270.0,top
D1,78.64,-100.61,0.0,top
D2,63.805,-90.1,90.0,top
J1,76.59,-121.485,0.0,top
J18,58.765,-96.19,0.0,top
J2,63.195,-120.905,180.0,top
J3,95.47,-98.85,0.0,top
J4,86.075,-97.805,0.0,top
Q1,78.96,-96.045,180.0,top
Q2,73.985,-96.055,0.0,top
Q3,92.14,-68.235,90.0,top
Q4,91.83,-72.455,270.0,top
Q5,90.55,-77.69,180.0,top
Q6,90.425,-81.3,180.0,top
Q7,90.43,-87.47,180.0,top
R1,59.015,-113.695,270.0,top
R10,61.77,-100.0,270.0,top
R11,87.585,-67.72,90.0,top
R12,88.025,-74.775,180.0,top
R13,87.365,-77.595,90.0,top
R14,87.375,-81.435,270.0,top
R15,87.5,-87.6,90.0,top
R16,64.595,-76.4875,0.0,top
R17,64.565,-78.435,0.0,top
R18,88.135,-70.72,180.0,top
R19,64.56,-80.4,0.0,top
R2,75.385,-100.65,270.0,top
R20,88.105,-72.625,180.0,top
R21,62.54,-82.915,0.0,top
R22,62.46,-85.535,0.0,top
R3,64.77,-113.695,270.0,top
R4,62.465,-68.14,90.0,top
R7,60.933333,-113.695,270.0,top
R8,62.851667,-113.695,270.0,top
R9,68.015,-103.4,90.0,top
SW1,80.388,-89.295,0.0,top
SW2,72.074,-89.215,0.0,top
U1,76.365,-75.47,0.0,top
U2,76.55,-114.37,180.0,top
U3,76.325,-107.48,0.0,top
U4,66.935,-97.535,270.0,top
U5,90.93,-119.79,180.0,top
U6,88.095,-107.885,270.0,top
